word	definition	score
imbue	 inspire, permeate 	0.0
imperious	assuming power or authority without justification; arrogant and domineering/in other words, entitled (I heard it in a Velvet Underground song)	-1.0
in flagrante delicto	 in the very act of committing a misdeed; in the midst of sexual activity	-1.0
in silico	In or on a computer.	-1.0
inamorata	A woman with whom one is in love or has an intimate relationship.	-1.0
inanition	Lack of mental or spiritual vigor and enthusiasm	-1.0
incipient	 in an initial stage 	0.0
incorrigible 	not able to be corrected, improved, or reformed	-1.0
ineffable	 too great to be expressed in words 	0.0
ineffable	incapable of being expressed in words	-1.0
ingenue	 an innocent or unsophisticated young woman, specially in a play or film	0.0
inglenook	 a bench by a large open fireplace 	0.0
insalubrious 	 not conducive to health	-1.0
insouciance	 nonchalance 	0.0
insouciance 	casual lack of concern; indifference	-1.0
insouciant	Free from concern, worry, or anxiety.	-1.0
intercalary	 inserted between others 	0.0
intestate	If someone dies intestate, they have died without leaving instructions about who should receive their property.	-1.0
inure	 accustom, especially to something unpleasant 	0.0
invidious	 1. calculated to create ill will or resentment or give offense; hateful. 2. offensively or unfairly discriminating; injurious.	-1.0
ipsedixitism	Dogmatic assertiveness, or a dogmatic assertion. From the Latin ipse dixit, meaning an assertion without proof, or literally he said it himself, or that's what (s)he said.	-1.0
isolato	A person who is spiritually isolated from or out of sympathy with his or her times or society.	-1.0
jactitation 	 A Tossing To And Fro Or Jerking And Twitching Of The Body	-1.0
janky 	Of extremely poor or unreliable quality (North American, informal )	-1.0
jape	1) to jest; joke; gibe. 2) to mock or make fun of. 3) a trick or practical joke.	-1.0
jejune 	not interesting, too simple	-1.0
jentacular	 of or relating to breakfast	-1.0
jingo	a person who professes his or her patriotism loudly and excessively, favoring vigilant preparedness for war and an aggressive foreign policy; bellicose chauvinist. (see also Jingoism)	-1.0
jingoism 	extreme chauvinism or nationalism marked by a belligerent foreign policy (has its origins on the minced oath by Jingo, used to avoid saying by Jesus).	-1.0
joie de vivre 	 a delight in being alive; keen, carefree enjoyment of living. [French	-1.0
jumentous	 smelling strongly like a beast of burden	-1.0
jusqu'auboutiste	A person who advocates carrying on a conflict until the bitter end, or until a conclusive victory one has been gained or all of one's aims achieved.	-1.0
kakistocracy	government by the worst persons possible.	-1.0
kakorrhaphiophobia	abnormal fear of failure	-1.0
kalopsia	The delusion of things being more beautiful than they are.	-1.0
kalpa 	a duration of time in Hinduism covering a complete cosmic cycle from the origination to the destruction of a world system, around 4.32 billion years	-1.0
katabasis 	 a descent or journey downward, such as traveling from the interior of a country to the coast or a trip to the underworld	-1.0
katagelophobia 	fear of being ridiculed	-1.0
kerfuffle 	disturbance, fuss	-1.0
kleptolagnia 	sexual arousal and gratification produced by committing an act of theft	-1.0
kleptoplasty	 stealing organelles from other cells that you eat, which changes you because you add it to your cell 	0.0
kloof 	A deep glen	-1.0
kludge 	 A clumsy or inelegant solution to a problem.	-1.0
knell	A stroke or sound of a bell especially when rung slowly (as for a death, funeral, or disaster).	-1.0
knurl	To impress with a series of fine ridges or serrations.	-1.0
koalang	a fictional language used by people on the space station Paradyzja (Polish, 1984) to evade totalitarian machine surveillance	-1.0
ktenology  	the science of putting people to death	-1.0
lachesis	to obtain by lot, by fate, or by the will of the gods; one of the three Fates in Greek mythology	-1.0
lachrymose  	 given to tears or weeping	-1.0
lackadaisical 	without effort or determination, lazy	-1.0
laconic	 using or involving the use of a minimum of words	-1.0
laconic (adjective)	expressing much using few words; concise. E.G. a laconic reply.	-1.0
lacuna	A blank space or a missing part.	-1.0
lacustrine  	of, or relating to, lakes	-1.0
lagniappe	 something given as a bonus to a customer (from Quechwa)	0.0
lagoon	 salt water separated from sea by a sand bank	0.0
lambent	glowing or luminous, but lacking heat; exhibiting lightness or brilliance of wit; clever or witty without unkindness	-1.0
languor	 pleasant feeling of tiredness 	0.0
laodicean	 lukewarm or indifferent in religion or politics	-1.0
lascivious	inclined to lustfulness; wanton; lewd.	-1.0
lassitude	 lack of energy 	0.0
legerity 	 physical or mental quickness; nimbleness; agility	-1.0
leisure	time available for ease and relaxation	0.0
lethologica	the inability to remember a word or put your finger on the right word	-1.0
lexiphanic	Using, or interlarded with pretentious words; bombastic; showing off by using sesquipedalian words when diminutive verbiage would have sufficed.	-1.0
lilt	 a pleasant and gentle accent 	0.0
limacine	of, relating to, or resembling a slug	-1.0
limerence	 a state of mind resulting from romantic attraction, characterized by feelings of euphoria, the desire to have one's feelings reciprocated, etc.	-1.0
limerence	The euphoric state of being infatuated with another person.	-1.0
limerence 	 an involuntary inspiring state of love and attachment to another person	-1.0
limerence 	The state of being infatuated or obsessed with another person, typically experienced involuntarily and characterized by a strong desire for reciprocation of one's feelings but not primarily for a sexual relationship.	-1.0
lissome	gracefully thin and bending and moving with ease	0.0
lithe	(especially of a person's body) thin, supple, and graceful	0.0
litotes 	understatement in which an affirmative is expressed by the negative of the contrary (as in not a bad singer or not unhappy)	-1.0
locarnize	 To bring about peace or settle a disagreement by negotiation	-1.0
logorrhea	pathologically incoherent, repetitious speech	-1.0
lorgnette	A pair of glasses with a handle attached	-1.0
lothario	a man whose chief interest is in seducing women	-1.0
louche 	decadent yet attractive	-1.0
lour	 To look sullen. To be or become dark, gloomy, and threatening.	-1.0
lucubration 	 laborious work, study, thought, etc., especially at night. (from Latin) 	-1.0
luthier	 a maker of stringed instruments, such as violins.	-1.0
luxuriant	marked by complexity and richness of detail	0.0
lückenbüßer	a person occupying a position who is merely a stand-in for the person that was desired (german)	-1.0
l’appel du vide	'Call of the Void', the urge some people get to jump from high places when they encounter them 	-1.0
maieutic	 Relating to or resembling the Socratic method of eliciting new ideas from another.	-1.0
malaise	 a vague or unfocused feeling of mental uneasiness, lethargy, or discomfort.	-1.0
malaphor	 An idiom blend	-1.0
malapropism	 the wrong use of one word instead of another word because they sound similar to each other, with results that are unintentionally funny	-1.0
malapropism	Use of an incorrect word in place of a word with a similar sound	-1.0
malus 	 a financial penalty, the opposite of 'bonus'	-1.0
mamihlapinatapai 	A look shared by two people, each wishing that the other will offer something that they both desire but are unwilling to suggest or offer themselves (from the indigenous people of Tierra del Fuego)	-1.0
manicule	 an index hand to draw attention to something in text 	0.0
masstige	Products that have the perception of luxury, but are relatively affordable and marketed to masses.	-1.0
maudlin	drunk enough to be emotionally silly	-1.0
maw	 jaws, throat 	0.0
meliorism	The belief that the world tends to improve and that humans can aid its betterment	-1.0
melliferous	producing or yielding honey	-1.0
mellifluous	pleasing to the ear	0.0
mellifluous 	 having a smooth rich flow; filled with something (such as honey) that sweetens	-1.0
mellify 	to embalm in honey	-1.0
melliloquent	 Speaking sweetly or harmoniously	-1.0
memento mori	 An object kept as a reminder of the inevitability of death	-1.0
memento mori	literally remember you must die, an object, such as a skull, intended to remind people of the inevitability of death	-1.0
menhir	a single upright rough monolith usually of prehistoric origin.	-1.0
menticide	 the systematic effort to undermine and destroy a person's values and beliefs, as by the use of prolonged interrogation, drugs, torture, etc., and to induce radically different ideas	-1.0
mercurial	Subject to sudden or unpredictable changes of mood or mind	-1.0
meretricious  superficially attractive but having in reality no value or substance; falsely alluring	-1.0	-1.0
metagrobolize	To puzzle or to mystify.	-1.0
metempsychosis	 The passing of the soul at death into another body either human or animal.	-1.0
mettle 	a person's ability to cope well with difficulties or to face a demanding situation in a spirited and resilient way	-1.0
miasma	 a dangerous, foreboding, or deathlike influence or atmosphere.	-1.0
milquetoast 	a weak, bland timid or spineless person	-1.0
mirabile dictu	 wonderful to relate	0.0
mithridatism	 tolerance to a poison acquired by taking gradually increased doses of it	-1.0
mitty	An ordinary, timid person who indulges in daydreams involving great adventures and triumphs.	-1.0
moiety	one of two (approximately	0.0
moirai 	the three fates in Greek mythology	-1.0
molybdomancy	 a technique of divination using molten metal	-1.0
mondegreen	 a mishearing or misremembering of a phrase 	0.0
mondegreen	a word or phrase that results from a mishearing of something said or sung	-1.0
monomania 	obsessive enthusiasm for or preoccupation with one thing	-1.0
mononymous	 A person or an individual addressed or known by a single name, e.g. Plato	-1.0
monopsony	the market condition that exists when there is one buyer.	-1.0
monosemy	the fact of having only a single meaning; absence of ambiguity in a word.	-1.0
mooncalf	 a foolish or absentminded person; simpleton	-1.0
mordant	biting and caustic in thought, manner, or style	-1.0
mot juste	 The exactly right word or phrasing.	-1.0
mottainai	the sensation of loss associated with needless waste or patterns of behaviour that lead to such waste (Japanese)	-1.0
mubblefubbles  	depression for no apparent reason; melancholy	-1.0
muckibus	Drunkenly sentimental or maudlin.	-1.0
mudita	A Buddhist word roughly meaning Joy at another's joy	-1.0
mumpsimus 	Adherence to a traditional custom or notion although it is shown to be unreasonable	-1.0
murmur	a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech	0.0
mutatis mutandis	 With the necessary changes having been made.	-1.0
myrmidon 	a person who executes without question or scruple a master's commands	-1.0
mythomane	 A person with a strong or irresistible propensity for fantasizing, lying, or exaggerating.	-1.0
mythomania	 An abnormal tendency to exaggerate or lie.	-1.0
nascency 	the event of being born 	-1.0
nefelibata	 cloud walker; one who lives in the clouds of their own imagination or dreams; or one who does not obey the conventions of society, literature, or art.	-1.0
nemesis	the inescapable agent of someone's or something's downfall	0.0
neoteny	The retention of juvenile characteristics in the adult.	-1.0
nepenthe	A potion used by the ancients to induce forgetfulness of pain or sorrow.	-1.0
nepenthe	something capable of causing oblivion of grief or suffering	-1.0
nibling, noun 	 one's niece or nephew, especially in the plural or as a gender	-1.0
nickelodeon 	 an early movie theater to which admission usually cost five cents	-1.0
niggardly 	reluctant to give or spend; stingy; miserly	-1.0
nigget	 A small insect; specifically one used as a familiar by a witch, sorcerer, etc.	-1.0
nigrescence	The process of becoming black or dark.	-1.0
nihilarian	one who does useless work	-1.0
nithered	Very cold; shrivelled with cold.	-1.0
niveous	Resembling snow, especially in whiteness; snowy.	-1.0
noblesse oblige	 the inferred responsibility of privileged people to act with generosity and nobility toward those less privileged.	-1.0
noceur	One who sleeps late or not at all; or, one who stays out late to revel or party.	-1.0
noctilucent	visible or glowing at night	-1.0
non sequitur	 a conclusion or statement that does not logically follow from the previous argument or statement.	0.0
norns 	the three fates in Norse mythology	-1.0
nullibiquitous	 Not in existence anywhere.	-1.0
nychthemeron	 A full period of a day and night	-1.0
nyctophilia 	A preference for the night or darkness.	-1.0
nyctophilia 	an abnormal preference for the night over the day fr. greek nyx (night) and philia (love)	-1.0
nympholepsy	a state of violent emotion, esp when associated with a desire for something one cannot have.	-1.0
obdormition	 the act of a limb falling asleep	-1.0
obelus	 dagger symbol, to mark passages that were suspected of being corrupted 	0.0
oblectation	Pleasure, satisfaction, delight.	-1.0
obnubilate	Darken, dim, or cover with or as if with a cloud; obscure.	-1.0
obscurantism	the practice of deliberately presenting information in an imprecise manner to limit understanding -1.0	-1.0
obsequious	Obedient or attentive to an excessive or servile degree.	-1.0
obsequious 	marked by or exhibiting a fawning attentiveness	-1.0
obstreperous	Marked by unruly or aggressive noisiness.	-1.0
obstreperous	marked by unruly or aggressive noisiness; stubbornly resistant to control	-1.0
obstreperous 	 marked by unruly or aggressive noisiness; stubbornly resistant to control	-1.0
obtenebration	 The act of darkening; the state of being darkened; darkness.	-1.0
ocellus	An eyelike colored spot on an animal (as on peacock feathers, butterfly wings, fish, etc.) or on a leaf of a plant.	-1.0
ochlocracy	 mob rule, or intimidation of government or authorities by a mass of people.	-1.0
ochlocracy	rule by the mob	-1.0
ochlocracy 	 mob rule; democracy spoiled by demagoguery and the rule of passion over reason	-1.0
octothorpe 	An alternate english name for the # sign.	-1.0
odalisque	a woman slave in a harem	0.0
offing	the near or foreseeable future	0.0
omerta	 (as practiced by the Mafia) a code of silence about criminal activity and a refusal to give evidence to authorities.	0.0
ommatophore	A tentacle or movable stalk bearing an eye, as in certain snails.	-1.0
omnicompetent	 Able to handle any situation.	-1.0
omnilegent 	characterised by encyclopedic reading. Having read everything.	-1.0
oneirataxia 	The inability to differentiate between dreams and reality.	-1.0
oneiric 	 of or relating to dreams	-1.0
oneironaut 	An explorer of the dream world.	-1.0
onomatopoeia	using words that imitate the sound they denote	0.0
opsimath	a person who learns late in life.	-1.0
opsomania 	An intense longing for a particular kind of food, or for highly seasoned food.	-1.0
opulent	ostentatiously rich and superior in quality	0.0
orison 	a prayer (archaic)	-1.0
orphic	Mystical; occult.	-1.0
ort 	 a morsel left at a meal	-1.0
Orthogenesis	"progressive evolution, evolutionary progress, or progressionism, is the biological hypothesis that organisms have an innate tendency to evolve in a definite direction towards some goal due to some internal mechanism or ""driving force"""	-1.0
oscitancy	 the state of being drowsy, lazy, or inattentive the act of yawning	-1.0
otiose	Lazy; indolent.	-1.0
oubliette	a dungeon with an opening only at the top	-1.0
oubliette	A secret dungeon with access only through a trapdoor in its ceiling	-1.0
ouroboros	  an ancient symbol depicting a serpent or dragon eating its own tail	-1.0
overmorrow	The day after tomorrow.	-1.0
paedomorphic	(resulting from) the retention of juvenile characteristics by an adult	-1.0
palimpsest	a manuscript or piece of writing material on which the original writing has been effaced to make room for later writing but of which traces remain	0.0
panacea	 A remedy for all ills or difficulties.	-1.0
panacea	a solution or remedy for all difficulties or diseases	0.0
panglossian	characterized by or given to extreme optimism, especially in the face of unrelieved hardship or adversity.	-1.0
pangram 	 A sentence that makes use of all the letters of the alphabet.	-1.0
panjandrum	A powerful personage or pretentious official.	-1.0
panoply	(literally) a full suit of armor; a complete collection of something; an impressive display	-1.0
panopticon	 A building designed so that all parts of the interior are visible from a single point.	-1.0
paracosm	A detailed imaginary world, or fantasy world, commonly having its own geography, history, and language usually developed during childhood and continues over a long period of time.	-1.0
paralambdacism	 Inability to pronounce the sound L	-1.0
paralogize	To reason falsely; to draw conclusions not warranted by the premises	-1.0
paramnesia	A distortion of memory in which fact and fantasy are confused.	-1.0
paraprosdokian	 a figure of speech in which the end of the sentence is surprising, or causes the reader to reinterpret the first part.	-1.0
parcae 	the three fates in Roman mythology	-1.0
parciloquy	A short speech; the quality of speaking little.	-1.0
pareidolia 	The imagined perception of a pattern or meaning where it does not actually exist, as in considering the moon to have human features	-1.0
parergon	 a work that is supplementary to a larger or more important work	-1.0
pariah	One that is despised or rejected 	-1.0
paroxysm	 A sudden violent emotion or action	-1.0
parthian shot	a sharp, telling remark or gesture made in departing.	-1.0
parvenu	One that has recently or suddenly risen to an unaccustomed position of wealth or power and has not yet gained the prestige, dignity, or manner associated with it.	-1.0
parvenu	One who has recently or suddenly risen to an unaccustomed position of wealth or power and has not yet gained the prestige, dignity, or manner associated with it.	-1.0
pastiche	a musical composition consisting of a series of songs or other musical pieces from various sources	0.0
pastiche 	 [noun] a literary, artistic, musical, or architectural work that imitates the style of previous work	-1.0
peccadillo	a petty misdeed	0.0
pecksniffian	pretending to have high moral principles	-1.0
peculate	 To steal or misuse money or property entrusted to one’s care.	-1.0
pediment	upper triangular part of greek building 	0.0
pegamoid	a waterproof varnish. Also figurative: impassive, impervious, not susceptible to emotion. 	0.0
pendent	Hanging or suspended; undecided, pending	-1.0
penetralia	the most private or secret parts, especially of a building.	-1.0
penumbra	  the faded edge of a shadow	-1.0
penumbra	a fringe region of partial shadow around an umbra	0.0
perendinate  	To defer until the day after tomorrow; to postpone for a day	-1.0
pernoctate	To pass the night somewhere.	-1.0
peroration 	the concluding part of a speech, typically intended to inspire enthusiasm in the audience.	-1.0
persiflage, noun 	 Frivolous, lighthearted discussion of a topic; Good	-1.0
persnickety	 Overparticular about trivial details	-1.0
perspicacious 	having keen mental perception and understanding; discerning	-1.0
pessimal	 the worst case or scenario (opposite of optimal)	-1.0
petrichor	A pleasant smell that frequently accompanies the first rain after a long period of warm, dry weather.	-1.0
pettyfogger  	 One who quibbles over trifles.	-1.0
phantasmagoria 	A fantastic, continuously shifting sequence of haphazardly associative imagery, as seen in dreams, fever or art	-1.0
philalethist	  A lover of the truth	-1.0
philodox	A person with an excessive interest in his own opinions.	-1.0
phlebotomist	 a specialist in drawing blood	-1.0
phobophobia	an abnormal fear of developing a phobia; anxiety about showing symptoms of a phobia.	-1.0
phthisic	A wasting illness of the lungs, such as asthma or tuberculosis	0.0
phynnodderee	 In the folklore of the Isle of Man	-1.0
pilcrow	The paragraph symbol ( ¶ ).	-1.0
plangent 	 (of a sound) loud, reverberating, and often melancholy.	-1.0
pleonasm	The use of more words than are necessary to express an idea.	-1.0
pleonasm 	 the use of more words than those necessary to denote mere sense	-1.0
pleonastic	using an excessive number of words; especially using different words having the same meaning	-1.0
pleonastic	when you use a whole bunch more words than are absolutely necessary to really get your point across; redundancy.	-1.0
pleonastic 	 using more words than necessary. 	-1.0
pleroma  	the totality of divine powers.	-1.0
plethora	a large or excessive amount of (something).	0.0
ploce	The repetition of a word or phrase to gain special emphasis or to indicate an extension of meaning.	-1.0
pluton	a body of intrusive igneous rock.	-1.0
pluviophile	Lover of rain	-1.0
podunk	 a small, unimportant, and isolated town	-1.0
poecilonym	a synonym; a word that means the same thing as another; it's the synonym for synonym.	-1.0
Polychotomy	the separation into many parts 	-1.0
polylemma	A choice involving multiple undesirable options.	-1.0
polysemant	 a word having more than one meaning	-1.0
polysemous	Having multiple meanings.	-1.0
polytely	comprises complex problem-solving situations characterized by the presence of multiple simultaneous goals. These goals may be contradictory or otherwise conflict with one another, requiring prioritisation of desired outcomes	-1.0
pomaceous	 of or relating to apples	-1.0
popinjay	a strutting supercilious person	-1.0
potvaliancy	Brave only as a result of being drunk.	-1.0
prebuttal	 An argument in anticipation of a criticism; a preemptive rebuttal.	-1.0
prevaricate	To avoid telling the truth by being ambiguous	-1.0
prevaricate 	 to deviate from the truth; speak or act in an evasive way	-1.0
proclivity	a tendency to choose or do something regularly; an inclination or predisposition toward a particular thing, usually something suggestive	-1.0
promontory	headland 	0.0
propinquity	the state of being close to someone or something; proximity	0.0
propreantepenultimate	 Meaning fifth from last.	-1.0
proprioception	the ability to sense your bodies position, motion or equilibrium	-1.0
prosody	 the rhythmic and intonational aspect of language	-1.0
provender	food 	0.0
psithurism	The sound of rustling leaves.	-1.0
psittacism	 Automatic speech without thought of the meaning of the words spoken.	-1.0
psychopomp 	a deity or creature who guides souls to their underworld, e.g. Charon or Anubis 	-1.0
puce 	of a dark red or purple-brown color 	-1.0
pugil	As much as is taken up between the thumb and two first fingers.	-1.0
pulchritudinous	Having great physical beauty	-1.0
pulviscular 	 Dusty, resembling a fine powder (Defined visually through the link)	-1.0
pusillanimous	lacking in courage and manly strength and resolution	-1.0
putsch 	 A coup; an illegal effort to forcibly overthrow the current government. From German ‎(knock, thrust)	-1.0
pyrrhic	a victory with such a devastating cost that it is tantamount to defeat	-1.0
qua	in the capacity of	-1.0
quaintrelle	a woman who emphasizes a life of passion expressed through personal style, leisurely pastimes, charm, and cultivation of life’s pleasures.	-1.0
quean 	 an impudent or badly behaved girl or woman; a prostitute	-1.0
quercine	having characteristics of an oak.	-1.0
querencia 	 a place from which one’s strength of character is drawn; home but more.	-1.0
querulous	Complaining in a petulant or whining manner.	-1.0
quiff 	a piece of hair, especially on a man, brushed upward and backward from the forehead.	-1.0
quincunx	an arrangement of five objects with four at the corners of a square or rectangle and the fifth at its center (like when you roll a five at dice)	-1.0
quintessential	representing the perfect example of a class or quality	0.0
quisling	 a collaboator with occupying enemy forces, a traitor	-1.0
quisling	a traitor who serves as the puppet of the enemy occupying his or her country.	-1.0
quockerwodger 	 a wooden toy figure which jerks its limbs about when pulled by a string, and also a politician whose strings are pulled by someone else.	-1.0
raison d'etre	the most important reason or purpose for someone or something's existence	0.0
raisonneur	a character in a play, novel, or the like who voices the central theme, philosophy, or point of view of the work.	-1.0
rasputitsa	 condition in spring and fall when Russian roads turn to mud	0.0
rastrum	a five-pointed writing implement used in music manuscripts to draw parallel staff lines when drawn horizontally across a blank piece of sheet music. 	-1.0
ratatouille	a vegetable stew; usually made with tomatoes, eggplant, zucchini, peppers, onion, and seasonings	0.0
ravin	To dine or feast upon plunder or goods seized by violence.	-1.0
recalcitrant 	 having an obstinately uncooperative attitude toward authority or discipline;	-1.0
recherce	 rare, exotic, obscure	0.0
recidivist 	a person who continues to commit crimes even after being caught and punished	-1.0
recondite	 obscure, recherche, rare	0.0
recrudesce	 to break out again after a period of latency or relative inactivity	-1.0
recusant 	A person who refuses to submit to an authority or to comply with a regulation	-1.0
redolent	serving to bring to mind; strongly smelling of.	0.0
reify	 To regard something abstract as if it were a concrete material thing.	-1.0
riparian	of or relating to or located on the banks of a river or stream	0.0
riparian 	Of or relating to the bank of a river or stream.	-1.0
ripple	a small wave on the surface of a liquid	0.0
rivulose	 marked with irregular, narrow, sinuous, or crooked lines	-1.0
roman a clef	a novel in which real persons or actual events figure under disguise	0.0
ropography	the depiction of those things which lack importance, the overlooked and everyday objects of life	0.0
roscid 	Dewy, moist; falling like dew.	-1.0
roué 	a man devoted to a life of sensual pleasure	-1.0
rta 	the principle of natural order which regulates and coordinates the operation of the universe and everything within it (Hindiusm)	-1.0
rusticate	to visit or live in the country	-1.0
sabrage	 the technique of opening a champagne bottle with a sabre.	-1.0
sacrosanct 	Treated as if holy; immune from criticism or violation.	-1.0
saeculum	A length of time equal to the potential lifetime of a human or the complete renewal of a human population.	-1.0
sangfroid	composure or coolness, sometimes excessive, as shown in danger or under trying circumstances	-1.0
sangfroid 	the ability to stay calm in difficult or dangerous situations	-1.0
sapid	 Having flavor; flavorful.	-1.0
sapiosexual 	a person who is sexually attracted to intelligent people	-1.0
saprogenic	Causing or produced by putrefaction.	-1.0
saturnine	bitter or scornful	0.0
saudade	 a deep emotional state of nostalgic longing for an absent something or someone that one loves	-1.0
saudade 	an untranslatable Portuguese word that describes a deep emotional state of melancholic longing for something (or someone) that is absent	-1.0
scapulimancy	divination by observation of a shoulder blade usually as blotched or cracked from a fire	-1.0
scintilla	a tiny or scarcely detectable amount	0.0
scintillating	sparkling or shining brightly/brilliantly and excitingly clever or skillful	-1.0
scripturient	Having a strong urge to write.	-1.0
scrivener	A scribe or clerk; a notary.	-1.0
scrupulosity 	 characterized by pathological guilt about moral or religious issues. It is personally distressing, objectively dysfunctional, and often accompanied by significant impairment in social functioning.	-1.0
seigniorage	a government revenue from the manufacture of coins calculated as the difference between the face value and the metal value of the coins	-1.0
sempiternal	having no known beginning and presumably no end	0.0
seraglio	the women's apartments (harem) in an Ottoman palace	0.0
serein	A fine rain falling after sunset from a sky in which no clouds are visible.	-1.0
serendipity	good luck in making unexpected and fortunate discoveries	0.0
shibboleth	a word, phrase, custom, etc., only known to a particular group of people, that you can use to prove to them that you are a real member of that group	-1.0
shoo	in (NOT shoe	-1.0
sic 	A Latin term meaning thus. It is used to indicate that something incorrectly written is intentionally being left as it was in the original.	-1.0
sicario 	a hired gunman or assassin, esp. in Latin America	-1.0
sidereal	Of, or relating to, the stars.	-1.0
sine qua non	an essential condition; a thing that is absolutely necessary	0.0
sinistrodextral	From left to right, like English writing. The opposite is dextrosinistral.	-1.0
sisyphean 	  endless and unavailing, as labor or a task.	-1.0
sitzkrieg 	a period of war marked by little or no active hostilities	-1.0
skiamachy	a sham fight or argument; conflict or argument with an imaginary or insubstantial opponent. (etymology to fight with shadows.)	-1.0
skinkle	Verb. To glitter, glisten; to sparkle, twinkle.	-1.0
skyclad	 Naked outdoors.	-1.0
slake	cool, with water; quench 	0.0
sluice	 to wash or rinse freely with a stream or shower of water; to pour, flow, or shower freely	-1.0
smatter	 To speak (a language) without fluency. To study or approach superficially; dabble in	-1.0
snaste  	 The burnt or burning part of the wick of a candle	-1.0
snollygoster	A shrewd, unprincipled person.	-1.0
snollygoster 	a shrewd, unprincipled person	-1.0
snowclone	a type of cliché which uses an old idiom formulaically in a new context; e.g. X is the new Y	-1.0
sobriquet 	 a moniker, a nickname.	-1.0
sockdolager 	something that settles a matter; a decisive blow or answer	-1.0
solicitude	 The state of being concerned and anxious.	-1.0
somnambulant	walking as if, or while, asleep; sleepwalking	-1.0
sophism	 an argument apparently correct in form but actually invalid; especially	-1.0
sophist 	 someone whose reasoning is subtle and often specious; person who makes arguments that sound true, but are fallacious.	-1.0
sophistry	the clever use of arguments that seem true but are really false, in order to deceive people	-1.0
sophomoric 	conceited and overconfident of knowledge but poorly informed and immature.	-1.0
spandrel	 1. The roughly triangular space between the tops of two adjacent arches and the ceiling. (Architecture) 2. A trait that is not particularly advantageous to have, though it is retained because it is not particularly harmful. (Biology)	-1.0
spandrel	a roughly triangular space, usually found in pairs, between the top of an arch and a rectangular frame; between the tops of two adjacent arches	-1.0
spanghew	to throw violently into the air	-1.0
spanogyny	a scarcity of women	-1.0
spoonerism	  the transposition of the initial consonants or consonant clusters of a pair of words, often resulting in an amusing ambiguity of meaning, such as hush my brat for brush my hat	-1.0
spoonerism	Switching the first sounds of two or more words. Eg A Dot in the Shark.	-1.0
sprachgefühl	 a seemingly innate understanding of what is idiomatic or grammatical in a given language	-1.0
sprachgefühl	An intuitive sense of what is linguistically appropriate.	-1.0
sprachgefühl 	 Intuitive feeling for the natural idiom of a language. The essential character of a language.	-1.0
sprezzatura	studied nonchalance; perfect conduct or performance of something (as an artistic endeavor) without apparent effort	-1.0
squail 	1) To throw weighted sticks at small animals. 2) To throw anything about awkwardly or irregularly.	-1.0
squirl	A flourish or curve, especially in handwriting.	-1.0
squittering	 Producing watery faeces, or randomly broadcasting data.	-1.0
stellenbosch 	to relegate someone incompetent to a position of minimal responsibility	-1.0
stendhal syndrome	rapid heart rate, dizziness, fainting, etc. experienced when in the presence of art, particularly when exposed to a large degree of beauty in a single place.	-1.0
stentorian 	 (of a person's voice) loud and powerful.	-1.0
stridulate	To make a shrill creaking noise by rubbing body parts together.	-1.0
stultify	  To render useless or ineffectual; cripple. To cause to appear stupid, inconsistent, or ridiculous	-1.0
stultify	To cause to appear or be stupid, foolish, or absurdly illogical.	-1.0
subnivean	Occurring beneath a layer of snow.	-1.0
sui generis	 Being the only example of its kind; unique	-1.0
sumptuary 	designed to regulate extravagant expenditures or habits, as in sumptuary laws	-1.0
sumptuous	ostentatiously rich and superior in quality	0.0
supercargo	an officer on a merchant ship in charge of the cargo and its sale and purchase	0.0
surreptitious	marked by quiet and caution and secrecy; taking pains to avoid being observed	0.0
susurrous 	characterized by soft sounds; a murmurous brook; a soughing wind in the pines; a slow sad susurrous rustle like the wind fingering the pines	0.0
susurrus	a whispering or rustling sound	-1.0
suzerain	 a dominant state controlling the foreign relations of a vassal state but allowing it sovereign authority in its internal affairs	-1.0
suzerain	a dominant state controlling the foreign relations of a vassal state but allowing it sovereign authority in its internal affairs	-1.0
sybaritic 	 fond of sensuous luxury or pleasure; self	-1.0
symbiosis	the relation between two different species of organisms that are interdependent; each gains benefits from the other	0.0
syzygy	the astronomical alignment of three bodies, such as the Earth, moon, and sun during an eclipse	-1.0
taedium vitae	weariness of life	0.0
talisman	a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease	0.0
tarantism	 a mania characterized by an uncontrollable impulse to dance, especially as prevalent in southern Italy from the 15th to the 17th century, popularly attributed to the bite of the tarantula.	-1.0
tartuffe	A religious hypocrite, or a hypocritical pretender to excellence of any kind	-1.0
tatterdemalion	a person dressed in ragged clothing; a ragamuffin	-1.0
teleology	the explanation of phenomena in terms of the purpose they serve rather than of the cause by which they arise 	-1.0
teleonomy	 the quality of apparent purposefulness and of goal-directedness of structures and functions in living organisms brought about by natural processes like natural selection	-1.0
tellurian	 An inhabitant of Earth; of or inhabiting the earth.	-1.0
telos 	a term used by philosopher Aristotle to refer to the full potential or inherent purpose or objective of a person or thing	0.0
temerity	the quality of being confident and unafraid of danger or punishment, especially in a way that seems rude or foolish	-1.0
tempera	a medium used to bind pigments to painting 	0.0
temporize 	 to be indecisive or evasive to gain time or delay acting	-1.0
temul is a mongol root meaning to rush headlong, to be inspired or to have a sense of creative thought, and even to take a flight of fancy. it gave genghis khan's original name	Temujin	-1.0
